"X","EntrezGeneID","Length","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
1,497097,3634,438,300,65,237,354,287,0,0,0,0,0,0
2,100503874,3259,1,0,1,1,0,4,0,0,0,0,0,0
3,100038431,1634,0,0,0,0,0,0,0,0,0,0,0,0
4,19888,9747,1,1,0,0,0,0,10,3,10,2,0,0
5,20671,3130,106,182,82,105,43,82,16,25,18,8,3,10
6,27395,4203,309,234,337,300,290,270,560,464,489,328,307,342
7,18777,2433,652,515,948,935,928,791,826,862,668,646,544,581
8,100503730,799,0,1,0,0,0,0,0,1,2,0,2,2
9,21399,2847,1604,1495,1721,1317,1159,1066,1334,1258,1068,926,508,500
10,58175,2241,4,2,14,4,2,2,170,165,138,60,27,15
11,108664,1976,769,752,1062,987,995,903,1381,1430,1762,1570,1330,1296
12,18387,4707,0,0,0,0,0,0,0,0,0,0,0,0
13,226304,3692,2,0,0,0,0,0,0,0,0,0,0,0
14,12421,7046,1494,1412,1157,967,1603,1577,1262,1336,1288,1278,717,622
15,620393,858,0,0,0,0,0,0,0,0,0,0,0,0
16,240690,6161,0,0,0,1,0,0,0,0,1,0,0,0
17,319263,5232,1344,1242,1374,1593,2029,1982,1085,961,1036,1144,1427,1459
18,71096,4193,1,0,1,0,0,0,0,0,0,0,0,0
19,59014,2048,1691,1808,2127,1653,793,544,1207,1071,1076,948,383,409
20,76187,3139,18,15,15,21,24,24,26,55,172,197,247,252
21,72481,1246,5,3,3,4,17,12,19,15,27,53,18,12
22,76982,3187,17,6,15,18,84,77,5,8,9,7,6,5
23,17864,3564,764,537,286,262,358,282,256,311,140,141,39,49
24,70675,5179,1501,1378,1137,1021,1181,956,1475,1636,1446,1290,473,432
25,73331,1494,2,1,1,2,0,1,0,0,2,0,2,1
26,170755,5622,280,232,145,146,212,232,207,168,55,58,42,36
27,620986,451,61,70,58,62,61,52,127,119,67,48,33,24
28,240697,2553,6,3,6,4,9,8,0,1,0,0,1,0
29,73824,407,352,366,424,362,195,153,405,375,206,192,93,93
30,266793,74,10,11,11,14,8,3,8,5,3,2,3,0
31,100038398,2646,64,21,23,28,14,18,9,10,6,28,19,15
32,100039596,501,14,10,4,7,2,3,1,1,4,0,3,1
33,69312,1502,1,0,1,0,1,0,1,1,1,6,1,1
34,26754,1240,1134,1051,1174,1031,956,818,1531,1714,1426,1219,734,763
35,211660,4354,670,606,493,434,542,551,561,623,466,497,251,266
36,211673,7042,3447,3604,3304,2975,2983,2772,3703,3534,3018,3079,2290,2213
37,329093,1930,92,121,89,61,71,63,0,0,0,0,0,0
38,109294,11187,388,553,145,147,137,161,137,151,24,38,62,43
39,320492,8293,16,9,2,2,0,2,5,2,2,9,0,0
40,329096,3200,0,0,0,0,0,0,0,0,0,0,0,0
41,240725,4864,884,965,331,535,437,372,42,63,10,11,18,17
42,240726,8512,38,15,23,9,10,5,13,7,18,8,1,0
43,383491,2593,8,11,13,12,18,15,5,9,5,3,0,0
44,17978,8213,2356,2516,3180,2743,3210,3146,2359,2541,1445,1268,719,740
45,72265,2888,1477,1481,1409,1290,1026,945,2333,2717,3945,3090,4555,4628
46,212442,1889,141,119,135,122,180,177,293,332,201,182,344,377
47,381246,1926,0,0,0,0,0,0,0,0,0,0,4,4
48,433273,1245,0,2,2,0,0,2,1,4,1,0,3,4
49,14048,4345,280,388,412,366,497,619,1,2,1,1,0,1
50,17681,1717,5,2,3,2,2,1,55,44,36,16,1,2
51,277328,4263,0,0,0,0,0,0,0,0,0,0,0,0
52,98741,5309,4,0,0,1,0,1,1,0,0,0,0,0
53,21749,1633,270,235,181,146,169,221,214,220,150,137,154,121
54,226866,2748,733,924,382,393,245,244,10,13,3,19,0,1
55,665434,572,1,1,2,0,0,0,1,1,0,0,0,0
56,75799,717,3,0,1,1,2,1,1,0,0,0,0,0
57,19989,934,13915,16804,14309,12427,9690,8652,15065,14918,12087,10919,3834,3766
58,98711,2295,2322,1860,1809,1253,1278,1388,541,760,620,609,114,108
59,29819,2890,395,419,533,464,439,362,422,489,469,357,191,222
60,66799,2354,750,719,712,650,842,717,411,404,345,335,208,226
61,67923,955,3119,2920,2716,2221,2115,1980,1347,1240,923,805,549,523
62,329101,2788,1,1,2,4,0,1,0,0,1,0,0,0
63,70397,1732,485,428,605,522,503,467,438,385,417,375,448,506
64,17087,603,33,21,54,38,52,31,75,89,167,144,106,88
65,57339,4809,199,162,214,183,136,109,83,49,55,45,42,43
66,14545,3938,2,2,22,18,14,10,2,2,1,1,0,1
67,94227,6923,122,234,170,273,112,76,11,10,4,1,2,2
68,83691,4006,419,768,315,298,257,261,9,10,5,3,1,7
69,78081,1192,0,0,0,0,0,0,0,0,0,0,0,0
